"display_title, opening_date, publication_date, url, mpaa_rating, critics_pick"
"A Beautiful Planet, 2016-04-29, 2016-04-28, http://www.nytimes.com/2016/04/29/movies/a-beautiful-planet-review.html, G,  0"
"A Bigger Splash, 2016-05-04, 2016-05-03, http://www.nytimes.com/2016/05/04/movies/a-bigger-splash-review-tilda-swinton.html, R, 1"
"A Hologram for the King, 2016-04-22, 2016-04-21, http://www.nytimes.com/2016/04/22/movies/review-a-hologram-for-the-king-is-elevated-by-tom-hankss-portrayal-of-an-american-everyman.html, R, 1"
"Baaghi, 2016-04-29, 2016-05-01, http://www.nytimes.com/2016/05/02/movies/baaghi-review.html, ,  0"
